                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                0.75507,                 3.6924,                0.31841,                0.49506,                  1.033,                0.97111,                0.97567,                0.99029,                0.87662,                0.85257,                 0.8073,                0.81273,                0.61642,                0.60914,                 2.2421,                0.09106,                0.35421,                0.86937,              0.0089605,              0.0089605,              0.0089605
                     23,                0.74663,                 3.6318,                0.31698,                  0.485,                 1.0292,                0.97035,                0.97248,                0.98971,                0.88129,                0.84688,                0.81676,                0.82255,                  0.633,                0.60453,                 2.1946,                0.08791,                0.34843,                0.86779,               0.008911,               0.008911,               0.008911
                     24,                0.74733,                 3.6676,                0.31589,                0.49062,                 1.0316,                0.97407,                0.97515,                0.99019,                0.87821,                0.85535,                0.81037,                0.81557,                0.62113,                0.59877,                 2.2108,                0.08718,                0.34899,                0.86895,              0.0088615,              0.0088615,              0.0088615
                     25,                0.74549,                 3.6494,                0.31375,                0.48711,                 1.0328,                0.97167,                0.97144,                   0.99,                0.87702,                0.84212,                0.79495,                0.79869,                0.61608,                 0.5984,                  2.293,                 0.0896,                0.34717,                0.87038,               0.008812,               0.008812,               0.008812
                     26,                 0.7443,                 3.6331,                0.31346,                0.48721,                 1.0307,                0.97222,                0.97426,                0.99047,                0.88053,                0.85993,                0.81071,                0.82193,                0.63222,                0.59591,                 2.1885,                0.08718,                0.33938,                0.86658,              0.0087625,              0.0087625,              0.0087625
                     27,                0.74448,                 3.5746,                0.30787,                0.48466,                 1.0315,                0.96403,                0.97479,                0.98984,                0.88195,                0.83559,                0.79411,                 0.8044,                0.63281,                0.59004,                 2.2589,                0.08777,                0.34334,                0.86565,               0.008713,               0.008713,               0.008713
                     28,                0.73843,                 3.5798,                0.30827,                0.48197,                 1.0303,                0.97225,                0.97389,                0.98993,                0.88353,                0.84368,                0.79491,                0.80573,                0.63167,                0.58135,                 2.2513,                0.08469,                0.33994,                0.86182,              0.0086635,              0.0086635,              0.0086635
                     29,                0.73933,                 3.5764,                0.30617,                0.48144,                 1.0269,                0.97293,                0.97695,                0.99041,                0.88406,                0.84424,                 0.8125,                0.82226,                 0.6444,                0.59403,                 2.1898,                0.08431,                0.33849,                0.86402,               0.008614,               0.008614,               0.008614
                     30,                0.73513,                 3.5271,                0.30656,                0.47791,                 1.0273,                0.97222,                0.97706,                 0.9904,                0.88499,                0.84474,                0.80994,                0.81687,                0.64669,                 0.5877,                 2.1954,                0.08714,                0.33738,                0.86642,              0.0085645,              0.0085645,              0.0085645
                     31,                0.73771,                 3.5539,                0.30695,                0.48684,                 1.0303,                0.96992,                0.97567,                0.99005,                0.88388,                0.84578,                0.80546,                0.81484,                0.63691,                0.58898,                 2.1987,                0.08471,                0.33933,                0.86471,               0.008515,               0.008515,               0.008515
                     32,                 0.7345,                 3.5453,                0.30411,                 0.4795,                 1.0281,                0.97243,                 0.9758,                0.99042,                0.88645,                0.84532,                0.82262,                0.83052,                0.65386,                0.58165,                  2.152,                0.08427,                0.33606,                0.86426,              0.0084655,              0.0084655,              0.0084655
                     33,                0.73419,                 3.5273,                0.30236,                0.47983,                 1.0276,                0.97244,                0.97515,                0.99079,                0.88718,                0.86767,                0.81942,                0.83533,                0.65579,                0.58074,                 2.0917,                0.08249,                0.33399,                0.86132,               0.008416,               0.008416,               0.008416
